# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.392933275562e-05       3.994078882795e+02 
       9.462507294965e-05       4.022608097496e+02 
       9.532149222420e-05       4.051157500741e+02 
       9.601859609745e-05       4.079727350185e+02 
       9.671639010374e-05       4.108317903374e+02 
       9.741487979380e-05       4.136929417766e+02 
       9.811407073480e-05       4.165562150749e+02 
       9.881396851058e-05       4.194216359659e+02 
       9.951457872173e-05       4.222892301801e+02 
       1.002159069857e-04       4.251590234464e+02 
       1.009179589372e-04       4.280310414939e+02 
       1.016207402278e-04       4.309053100539e+02 
       1.023242565267e-04       4.337818548612e+02 
       1.030285135205e-04       4.366607016559e+02 
       1.037335169133e-04       4.395418761852e+02 
       1.044392724272e-04       4.424254042049e+02 
       1.051457858022e-04       4.453113114811e+02 
       1.058530627961e-04       4.481996237913e+02 
       1.065611091852e-04       4.510903669265e+02 
       1.072699307640e-04       4.539835666927e+02 
       1.079795333458e-04       4.568792489118e+02 
       1.086899227621e-04       4.597774394236e+02 
       1.094011048637e-04       4.626781640873e+02 
       1.101130855200e-04       4.655814487825e+02 
       1.108258706198e-04       4.684873194109e+02 
       1.115394660709e-04       4.713958018978e+02 
       1.122538778007e-04       4.743069221929e+02 
       1.129691117561e-04       4.772207062725e+02 
       1.136851739039e-04       4.801371801402e+02 
       1.144020702305e-04       4.830563698285e+02 
       1.151198067426e-04       4.859783013997e+02 
       1.158383894670e-04       4.889030009481e+02 
       1.165578244508e-04       4.918304946001e+02 
       1.172781177617e-04       4.947608085163e+02 
       1.179992754880e-04       4.976939688927e+02 
       1.187213037389e-04       5.006300019612e+02 
       1.194442086445e-04       5.035689339919e+02 
       1.201679963562e-04       5.065107912933e+02 
       1.208926730466e-04       5.094556002143e+02 
       1.216182449098e-04       5.124033871448e+02 
       1.223447181614e-04       5.153541785171e+02 
       1.230720990390e-04       5.183080008072e+02 
       1.238003938022e-04       5.212648805357e+02 
       1.245296087325e-04       5.242248442691e+02 
       1.252597501338e-04       5.271879186209e+02 
       1.259908243325e-04       5.301541302527e+02 
       1.267228376777e-04       5.331235058753e+02 
       1.274557965410e-04       5.360960722497e+02 
       1.281897073173e-04       5.390718561886e+02 
       1.289245764243e-04       5.420508845569e+02 
       1.296604103034e-04       5.450331842734e+02 
       1.303972154192e-04       5.480187823112e+02 
       1.311349982599e-04       5.510077056994e+02 
       1.318737653377e-04       5.539999815238e+02 
       1.326135231887e-04       5.569956369279e+02 
       1.333542783731e-04       5.599946991142e+02 
       1.340960374756e-04       5.629971953450e+02 
       1.348388071052e-04       5.660031529437e+02 
       1.355825938958e-04       5.690125992956e+02 
       1.363274045061e-04       5.720255618488e+02 
       1.370732456197e-04       5.750420681157e+02 
       1.378201239456e-04       5.780621456734e+02 
       1.385680462181e-04       5.810858221652e+02 
       1.393170191972e-04       5.841131253014e+02 
       1.400670496685e-04       5.871440828602e+02 
       1.408181444436e-04       5.901787226889e+02 
       1.415703103603e-04       5.932170727046e+02 
       1.423235542827e-04       5.962591608956e+02 
       1.430778831012e-04       5.993050153219e+02 
       1.438333037333e-04       6.023546641165e+02 
       1.445898231228e-04       6.054081354864e+02 
       1.453474482411e-04       6.084654577131e+02 
       1.461061860864e-04       6.115266591544e+02 
       1.468660436847e-04       6.145917682444e+02 
       1.476270280893e-04       6.176608134952e+02 
       1.483891463815e-04       6.207338234973e+02 
       1.491524056706e-04       6.238108269213e+02 
       1.499168130939e-04       6.268918525178e+02 
       1.506823758174e-04       6.299769291194e+02 
       1.514491010353e-04       6.330660856408e+02 
       1.522169959710e-04       6.361593510803e+02 
       1.529860678764e-04       6.392567545205e+02 
       1.537563240330e-04       6.423583251293e+02 
       1.545277717514e-04       6.454640921608e+02 
       1.553004183718e-04       6.485740849562e+02 
       1.560742712642e-04       6.516883329448e+02 
       1.568493378286e-04       6.548068656449e+02 
       1.576256254950e-04       6.579297126648e+02 
       1.584031417240e-04       6.610569037036e+02 
       1.591818940065e-04       6.641884685521e+02 
       1.599618898643e-04       6.673244370940e+02 
       1.607431368503e-04       6.704648393065e+02 
       1.615256425483e-04       6.736097052614e+02 
       1.623094145736e-04       6.767590651260e+02 
       1.630944605733e-04       6.799129491638e+02 
       1.638807882260e-04       6.830713877360e+02 
       1.646684052424e-04       6.862344113016e+02 
       1.654573193655e-04       6.894020504191e+02 
       1.662475383706e-04       6.925743357468e+02 
       1.670390700658e-04       6.957512980441e+02 
       1.678319222919e-04       6.989329681724e+02 
       1.686261029228e-04       7.021193770958e+02 
